City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Codrington,AU,-38.2667,141.9667,40.14,93,2,6.87,clear sky
221,Imeni Poliny Osipenko,RU,52.4201,136.4853,46.17,85,99,8.41,overcast clouds
222,Nanortalik,GL,60.1432,-45.2371,36.86,88,90,6.08,overcast clouds
223,Kolokani,ML,13.5728,-8.0339,97.07,26,82,7.92,broken clouds
224,Bambous Virieux,MU,-20.3428,57.7575,74.21,86,19,4.47,light rain
225,Verkhnevilyuysk,RU,63.4453,120.3167,51.17,62,42,2.68,scattered clouds
226,Ranong,TH,9.9658,98.6348,79.23,86,67,7.2,broken clouds
227,Naze,JP,28.3667,129.4833,65.68,88,100,5.03,light rain
228,Basco,PH,20.4487,121.9702,84.65,76,100,14.58,overcast clouds
229,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,87,75,1.19,broken clouds
230,Praya,CV,14.9215,-23.5087,79.34,57,20,17.27,few clouds
231,Kieta,PG,-6.2167,155.6333,75.18,94,100,4.03,moderate rain
232,Alice Springs,AU,-23.7,133.8833,36.95,70,1,5.39,clear sky
233,Karasjok,NO,69.4719,25.5112,42.91,66,89,10.36,overcast clouds
234,Souillac,MU,-20.5167,57.5167,74.35,89,22,5.7,light rain
235,Guerrero Negro,MX,27.9769,-114.0611,66.79,63,75,17.4,broken clouds
236,Cabo San Lucas,MX,22.8909,-109.9124,99.52,65,40,10.36,scattered clouds
237,Laguna,US,38.421,-121.4238,82.15,53,1,6.46,clear sky
238,Beringovskiy,RU,63.05,179.3167,30.4,86,20,10.07,few clouds
239,Nargana,PA,9.4428,-78.5906,81.01,80,79,4.27,broken clouds
240,Doume,CM,4.2333,13.45,78.17,69,74,0.96,broken clouds
241,Tabou,CI,4.423,-7.3528,82.44,78,88,7.83,light rain
242,Fairbanks,US,64.8378,-147.7164,46.09,48,90,13.8,overcast clouds
243,Bengkulu,ID,-3.8004,102.2655,75.33,88,100,5.5,overcast clouds
244,Lengshuijiang,CN,27.6881,111.4294,65.62,96,94,2.71,overcast clouds
245,Saint George,US,37.1041,-113.5841,89.64,12,1,1.01,clear sky
246,Severo-Kurilsk,RU,50.6789,156.125,39.13,84,73,3.76,broken clouds
247,Ribeira Grande,PT,38.5167,-28.7,66.6,77,75,0.0,broken clouds
248,Kamina,CD,-8.7386,24.9906,65.26,42,37,2.95,scattered clouds
249,Hwange,ZW,-18.3693,26.5019,65.19,28,0,2.82,clear sky
250,Hirekerur,IN,14.4667,75.3833,72.99,86,36,10.58,scattered clouds
251,Castro,BR,-24.7911,-50.0119,74.41,61,19,11.74,few clouds
252,Matamoros,MX,25.5333,-103.25,91.51,34,1,4.65,clear sky
253,Mana,GF,5.6592,-53.7767,80.01,86,100,8.12,overcast clouds
254,Mabaruma,GY,8.2,-59.7833,78.06,95,86,4.61,overcast clouds
255,Mora,CM,11.0461,14.1401,99.25,15,100,5.61,overcast clouds
256,Yerbogachen,RU,61.2767,108.0108,37.08,83,72,5.28,broken clouds
257,Tautira,PF,-17.7333,-149.15,80.62,70,83,10.29,broken clouds
258,Katobu,ID,-4.9408,122.5276,74.43,94,54,3.71,broken clouds
259,Honiara,SB,-9.4333,159.95,76.21,91,100,2.64,overcast clouds
260,Faanui,PF,-16.4833,-151.75,79.14,69,72,3.36,broken clouds
261,San Jeronimo,PE,-11.9472,-75.2829,61.88,44,25,3.38,scattered clouds
262,Libertador General San Martin,AR,-23.8064,-64.7876,78.3,43,14,5.03,few clouds
263,Hirara,JP,24.8,125.2833,80.29,87,64,3.53,broken clouds
264,Torit,SS,4.4133,32.5678,77.34,69,56,3.33,broken clouds
265,Bahia Blanca,AR,-38.7196,-62.2724,51.66,44,5,12.55,clear sky
266,Pangai,TO,-19.8,-174.35,78.24,79,88,4.36,light rain
267,Erenhot,CN,43.6475,111.9767,57.04,58,45,14.29,scattered clouds
268,Huicheng,CN,23.0385,116.2899,84.15,87,100,13.69,overcast clouds
269,Aldan,RU,58.6031,125.3894,45.16,68,33,5.48,scattered clouds
270,Shaunavon,CA,49.6501,-108.4181,58.06,43,93,15.46,overcast clouds
271,Mikhaylovka,RU,50.06,43.2379,68.67,63,7,5.19,clear sky
272,Paita,PE,-5.0892,-81.1144,77.56,77,94,10.63,overcast clouds
273,Santa Maria,BR,-29.6842,-53.8069,64.45,57,21,9.46,few clouds
274,Tuatapere,NZ,-46.1333,167.6833,49.82,94,100,6.91,light rain
275,Bagn,NO,60.8225,9.5521,77.09,42,7,2.08,clear sky
276,Lakeside,US,30.13,-81.7682,91.94,45,75,4.0,broken clouds
277,Bealanana,MG,-14.55,48.7333,60.84,97,32,1.83,scattered clouds
278,Playas,EC,-2.6333,-80.3833,76.15,82,97,8.61,overcast clouds
279,Ergani,TR,38.2653,39.7621,72.95,41,23,8.14,few clouds
280,The Valley,AI,18.217,-63.0578,84.34,65,40,13.8,scattered clouds
281,Yerofey Pavlovich,RU,53.9667,121.9667,40.42,91,9,3.11,clear sky
282,Constitucion,CL,-35.3333,-72.4167,58.71,60,100,11.99,overcast clouds
283,Sur,OM,22.5667,59.5289,89.87,50,12,10.74,few clouds
284,Aitape,PG,-3.1374,142.3475,78.69,88,72,4.74,moderate rain
285,Fare,PF,-16.7,-151.0167,79.41,69,78,5.68,broken clouds
286,Puerto Madero,MX,14.7208,-92.4215,89.8,70,75,5.75,broken clouds
287,Adrar,MR,20.5022,-10.0711,108.03,7,87,14.36,overcast clouds
288,Ternate,ID,0.8,127.4,81.73,80,99,8.77,overcast clouds
289,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,79,20,12.3,few clouds
290,Severnoye,RU,56.3491,78.3619,50.49,82,67,6.33,broken clouds
